Target, Prediction, Time
2956.19,3356.99984029,2012-05-26 10:04:00
2702.9,3356.99984029,2012-05-26 10:05:00
2084.59,0,2012-05-26 10:06:00
2082.85,0,2012-05-26 10:07:00
2511.56,0,2012-05-26 10:08:00
2896.66,3384.21840458,2012-05-26 10:09:00
2999.12,3384.21840458,2012-05-26 10:10:00
2890.81,0,2012-05-26 10:11:00
2842.47,0,2012-05-26 10:12:00
2857.57,0,2012-05-26 10:13:00
3069.28,3257.4346966,2012-05-26 10:14:00
2573.6,3257.4346966,2012-05-26 10:15:00
2052.29,0,2012-05-26 10:16:00
2035.71,0,2012-05-26 10:17:00
2302.78,0,2012-05-26 10:18:00
2765.75,3448.44730981,2012-05-26 10:19:00
2719.64,3448.44730981,2012-05-26 10:20:00
2687.6,0,2012-05-26 10:21:00
2694.43,0,2012-05-26 10:22:00
2694.9,1253.44455899,2012-05-26 10:23:00
2704.5,4210.51320278,2012-05-26 10:24:00
2710.02,3390.67046488,2012-05-26 10:25:00
2695.14,1446.5650174,2012-05-26 10:26:00
2758.9,0,2012-05-26 10:27:00
2768.69,819.842737906,2012-05-26 10:28:00
2201.48,4233.08326965,2012-05-26 10:29:00
1967.92,4233.08326965,2012-05-26 10:30:00
1691.38,1639.68547581,2012-05-26 10:31:00
2042.53,819.842737906,2012-05-26 10:32:00
2355.73,0,2012-05-26 10:33:00
7164.0,3445.48188853,2012-05-26 10:34:00
7925.75,3445.48188853,2012-05-26 10:35:00
7935.48,819.842737906,2012-05-26 10:36:00
7932.73,1639.68547581,2012-05-26 10:37:00
7496.43,0,2012-05-26 10:38:00
7192.08,3426.62341677,2012-05-26 10:39:00
7311.1,3426.62341677,2012-05-26 10:40:00
7661.69,0,2012-05-26 10:41:00
7990.55,0,2012-05-26 10:42:00
8098.96,0,2012-05-26 10:43:00
8134.19,3348.88806415,2012-05-26 10:44:00
8429.05,3348.88806415,2012-05-26 10:45:00
8649.25,0,2012-05-26 10:46:00
7933.09,0,2012-05-26 10:47:00
7910.14,0,2012-05-26 10:48:00
7049.24,3332.3755776,2012-05-26 10:49:00
3385.1,3332.3755776,2012-05-26 10:50:00
3305.03,0,2012-05-26 10:51:00
7621.98,0,2012-05-26 10:52:00
8484.24,0,2012-05-26 10:53:00
7930.05,3458.49857416,2012-05-26 10:54:00
2894.54,3458.49857416,2012-05-26 10:55:00
2373.68,0,2012-05-26 10:56:00
4994.49,0,2012-05-26 10:57:00
8406.88,0,2012-05-26 10:58:00
7334.01,3728.7366083,2012-05-26 10:59:00
2843.33,3728.7366083,2012-05-26 11:00:00
2564.31,0,2012-05-26 11:01:00
1889.29,0,2012-05-26 11:02:00
7080.23,0,2012-05-26 11:03:00
7337.63,3868.98715795,2012-05-26 11:04:00
3293.34,3868.98715795,2012-05-26 11:05:00
3199.88,0,2012-05-26 11:06:00
3292.44,0,2012-05-26 11:07:00
3257.19,0,2012-05-26 11:08:00
6904.72,3672.16330931,2012-05-26 11:09:00
7320.41,3672.16330931,2012-05-26 11:10:00
2516.22,0,2012-05-26 11:11:00
3870.61,0,2012-05-26 11:12:00
3944.23,0,2012-05-26 11:13:00
3898.9,3834.74487857,2012-05-26 11:14:00
4361.36,3834.74487857,2012-05-26 11:15:00
9100.81,0,2012-05-26 11:16:00
6445.65,0,2012-05-26 11:17:00
2636.31,0,2012-05-26 11:18:00
2388.11,3146.0093594,2012-05-26 11:19:00
2724.47,3146.0093594,2012-05-26 11:20:00
2968.93,0,2012-05-26 11:21:00
5011.71,0,2012-05-26 11:22:00
6301.27,0,2012-05-26 11:23:00
2991.11,3562.25234927,2012-05-26 11:24:00
3000.3,3562.25234927,2012-05-26 11:25:00
2322.43,0,2012-05-26 11:26:00
2120.49,0,2012-05-26 11:27:00
